s.no,District,population_2011,population_2001,Area(sq km),literacy,Sex ratio(per 1000 boys)
1,Thane,11060148,8131849,9558,84.53,886
2,Pune,9429408,7232555,15643,86.15 ,915
3,Mumbai Suburban,9356962,8640419,446,89.91 ,860
4,Nashik,6107187,4993796,15530,82.31 ,934
5,Nagpur,4653570,4067637,9892,88.39 ,951
6,Ahmadnagar,4543159,4040642,17048,79.05 ,939
7,Solapur,4317756,3849543,14895,77.02 ,938
8,Jalgaon,4229917,3682690,11765,78.20 ,925
9,Kolhapur,3876001,3523162,7685,81.51 ,957
10,Aurangabad,3701282,2897013,10107,79.02 ,923
11,Nanded,3361292,2876259,10528,75.45 ,943
12,Mumbai City,3085411,3338031,157,89.21 ,832
13,Satara,3003741,2808994,10480,82.87 ,988
14,Amravati,2888445,2607160,12210,87.38 ,951
15,Sangli,2822143,2583524,8572,81.48 ,966
16,Yavatmal,2772348,2458271,13582,82.82 ,952
17,Raigarh,2634200,2207929,7152,83.14 ,959
18,Buldana,2586258,2232480,9661,83.40 ,934
19,Beed,2585049,2161250,10693,76.99 ,916
20,Latur,2454196,2080285,7157,77.26 ,928
21,Chandrapur,2204307,2071101,11443,80.01 ,961
22,Dhule,2050862,1707947,7195,72.80 ,946
23,Jalna,1959046,1612980,7718,71.52 ,937
24,Parbhani,1836086,1527715,6214,73.34 ,947
25,Akola,1813906,1630239,5676,88.05 ,946
26,Osmanabad,1657576,1486586,7569,78.44 ,924
27,Nandurbar,1648295,1311709,5955,64.38 ,978
28,Ratnagiri,1615069,1696777,8208,82.18 ,1122
29,Gondiya,1322507,1200707,5234,84.95 ,999
30,Wardha,1300774,1236736,6309,86.99 ,946
31,Bhandara,1200334,1136146,4087,83.76 ,982
32,Washim,1197160,1020216,4898,83.25,930
33,Hingoli,1177345,987160,4827,78.17,942
34,Gadchiroli,1072942,970294,14412,74.36 ,982
35,Sindhudurg,849651,868825,5207,85.56 ,1036
